sensor,importance_mean,importance_std
x29,0.00034013605442176353,0.0005891329277445071
x26,0.0003401360544217358,0.0007605673392856436
x02,0.0,0.0
x03,0.0,0.0
x04,0.0,0.0
x05,0.0,0.0
x06,0.0,0.0
x07,0.0,0.0
x08,0.0,0.0
x09,0.0,0.0
x10,0.0,0.0
x11,0.0,0.0
x12,0.0,0.0
x13,0.0,0.0
x14,0.0,0.0
x15,0.0,0.0
x00,0.0,0.0
x01,0.0,0.0
x17,0.0,0.0
x16,0.0,0.0
x18,0.0,0.0
x19,0.0,0.0
x22,0.0,0.0
x23,0.0,0.0
x20,0.0,0.0
x21,0.0,0.0
x25,0.0,0.0
x24,0.0,0.0
x27,0.0,0.0
x28,0.0,0.0
x30,0.0,0.0
x31,0.0,0.0
x32,0.0,0.0
x33,0.0,0.0
x34,0.0,0.0
x35,0.0,0.0
x36,0.0,0.0
x37,0.0,0.0
x38,0.0,0.0
x39,0.0,0.0
x40,0.0,0.0
x41,0.0,0.0
x42,0.0,0.0
x43,0.0,0.0
x44,0.0,0.0
x45,0.0,0.0
x46,0.0,0.0
x47,0.0,0.0
x48,0.0,0.0
x49,0.0,0.0
